"","text","yearweek"
"145","biden says masks best defense  coronavirus even  vaccination campaign ramps 
   plan   just telling people   wanted  hear  election time       covid    always   bidens mo wake 
",202104
"146"," good news illinois  moving  phase 1b  vaccination distribution

find  location near  

new windsor illinois",202104
"147","list  hampton roads  surrounding areas covid19 vaccination plansvia",202104
"148","  four devices trying  register   covid19 vaccine covid19 covid19 coronavirus vaccination   almost    ",202104
"149","monterey county  moving  1b  begining  vaccinate    75 years  oldervaccine  still limitedclinics   75 plus amp   phase 1a  available  

covidvaccine repost",202104
"150","speed amp extent  coronavirus vaccinations  country bycovid19 covid covidvaccine",202104
"151","   getting  news  national tv networks  listen   newspapers  subscribe   repoing  major vaccination clinicsbeing canceled  governors  others complaining   vaccineone example",202104
"152","city drops philly fighting covid  vaccination paner   failed  disclose forprofit armvia",202104
"153","anheuserbusch  donating  money    spent   ad  coronavirus vaccination awareness effos",202104
"154","uk expands coronavirus vaccination rollout  death toll nears 100k",202104
"155","budweiser joins coke pepsi brands  sitting  super bowlinstead budweiser said  donating  money    spent   ad  coronavirus vaccination awareness effosvia",202104
"156","  fucking mess fail",202104
"157","  just two weeks ago",202103
"158","cumulative covid19 vaccination doses administered per 100 people",202103
"159","nc redirected thousands  vaccines meant  places like greensboro  favor  mass vaccination events  charlotte motor speedway  bank  america stadium 
",202103
"160"," 1400 stimulus checks  go    get coronavirus vaccination smanews 

try tonic water

ill  sure  let twitter know   next stimulus payment isgot 120000 usd   japanese cult made  go thru quick  60000 usd",202103
"161","staten island va clinic  open covid vaccination site  local veterans staing january 26thvia",202103
"162","free coronavirus vaccination clinic underway  columbiana countywill  details onat noon21 news drone powered ",202103
"163","newly sworn  president joe biden   advisers  inheriting  coronavirus vaccine distribution plan  speak    trump administration sources tell cnn posing  significant challenge   new white house

repost
",202103
"164"," vaccinations  covid19  distributed across  united states  ready   got vaccinated stickers stopthespread decals americanmarketingcompany readytoship stock stickers labels printing covid coronavirus vaccine vaccination igotvaccinated print amc",202103
"165","buffalo police depament deletes tweet critical  erie county vaccination effoa buffalo police spokesperson referred   posting   unauthorized tweet saying    reflect  opinion   depamentvia",202103
"166","cnn    news org

newly sworn  president joe biden   advisers  inheriting  coronavirus vaccine distribution plan  speak    trump administration sources tell cnn posing  significant challenge   new white house",202103
"167","biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources saycnnpolitics",202103
"168","covid may  mutating faster   can reach herd immunity  either vaccination  infection
",202103
"169","howard university hospital coronavirus vaccination information",202103
"170","cnn biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources say


via",202103
"171","biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources say

",202103
"172","biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources say

",202103
"173","biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources say

",202103
"174","       last 10 months biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources saycnnpolitics",202103
"175","biden inheriting nonexistent coronavirus vaccine distribution plan  must sta  scratch sources say

",202103
"176","president joe bidens plan includes creating federally funded mass covid19 vaccination sites releasing  majority   doses  expanding vaccine eligibility

",202103
"177","ohio joins  list  states    toss coronavirus vaccines   werent properly stored  adding   issues many   just  get  vaccination appointmentrepos",202103
"178","now preps  underway  charlotte motor soeedway  clear speedway christmas  prepare  track   used   mass vaccination site   told  vaccinations   likely take place   garage area   infield",202103
"179","waiting   coronavirus vaccination",202103
"180"," excited   training  newest members   vaccinator army
",202103
"181","greene county   second largest population   counties covered   noheast regional health office   one   lowest covid19 vaccination rates   region

",202103
"182","heads   tomorrow

",202102
"183"," barrier   seeking  shot healthcare group uses credit company  verify identity  vaccination",202103
"184"," lack  supply   process  sign   led   frustration among  seeking  covid19 vaccination
",202103
"185"," day 1 longbeach said  1800 people  expected  receive  vaccine   new mass vaccination site",202103
"186","cottage hospital  allowing santa barbara residents age 75  sign    information   drivethrough vaccination clinic",202103
"187"," vaccination events   appointment  delawareans   65  older can register atregistration ",202103
"188","us records 400000 covid19 deaths   continues  slowwalk  vaccination drive

",202103
"189","wait
wtf  yall 
phase 4
holy shit
",202103
"190","newannounces  list  covid19 vaccination sites sites  10  16 maine counties right now   phase 1a  mainers ages 70  must make  apptnewscentermaine",202103
"191","live india  provide covid vaccines  bhutan  free says pm tshering
 
download  toi app now
",202103
"192","  learn   link connected  booking appointments   dodgers vaccination site",202102
"193","florida covid19 vaccination update 117
 1007716 total vaccinations 
 915897 received first dose
 91819 received  doses  time
 40974 overdue  second shot 
",202102
"194"," one   many oppounities  ny state access  link 


coronavirus publichealth spreadknowledgenotfear sleevesup",202102
"195","long islanders struggle  secure appointment  covid19 vaccinationvia",202102
"196","
olderadults  priority vaccination group  facing long lines crashing websites  jammed phonelines  florida  hurried vaccination plans crumble beneath  pressure   public health emergency read   latest via",202102
"197","
patients  acute heafailure double  risk  dying   get covid19   highrisk group     priority  vaccination covid coronavirus 

cardionews cardiotwitter",202101
"198","unitedstates vaccine vaccination vaccines hhs azar trump healthcare health sarscov2 coronavirus covid covid19 
 surprise  united states federal government didnt  reserve  20 million c19 vaccine doses    told hhs secretary azar resigned",202102
"199","wellmed  reopen covid19 vaccination hotline  saturday  schedule appointmentssince saturday january 9  wellmed hotline  received   79 millions callsvia",202102
"200","biden unveils  plan   coronavirus vaccination blitz",202102
"201","dodger stadium mass coronavirus vaccination site now open",202102
"202"," conclude  theis deliberately messing  vaccination  spreading misinformation creating oppounities  line jumping fouling web sites  phone hot lines  incompetence  borderline criminal   consider lives   stake",202102
"203","   last week sd   one   nations leaders  vaccinations  inoculating  public hinges upon shipments    unceain",202102
"204","covid19 vaccine update  hoosier age 70  older  eligible  schedule  vaccination appointment   closest vaccination site  booked  may try  later  see   appointments open  schedule  another available site schedule ",202102
"205","zoo miami vaccination site opens    people  appointments today  limited doses coming  next week",202102
"206"," marketing strategy truly unique   covid19 eraa chicago bar  offering patrons  10 gift card  getting vaccinated 
",202102
"207","bidens 19 trillion coronavirus relief package includes

 1400 stimulus checks
 400  week unemployment insurance
 50 billion  expand testing
 20 billion   national vaccination program
 130 billion  school reopening
 push  15 minimum wage",202102
"208","ktrktv houstons minute maid park lot  serve  covid19 vaccine mega site  weekend
",202102
"209"," spoke  soon",202102
"210","directing  hospitals  sta opening phase 1b clinics  launching online poal   can find vaccination sites
",202102
